State_Code,Region code,Name,District_Code,District_Name
01,011,Mountainous,07,Kathua
01,011,Mountainous,21,Jammu
01,011,Montainous,22,Samba
01,012,Outer Hills,05,Punch
01,012,Outer Hills,06,Rajouri
01,012,Outer Hills,16,Doda
01,012,Outer Hills,17,Ramban
01,012,Outer Hills,18,Kishtwar
01,012,Outer Hills,19,Udhampur
01,012,Outer Hills,20,Reasi
01,013,Jhelam Valley,01,Kupwara
01,013,Jhelam Valley,02,Badgam
01,013,Jhelam Valley,08,Baramula
01,013,Jhelam Valley,09,Bandipore
01,013,Jhelam Valley,10,Srinagar
01,013,Jhelam Valley,11,Ganderbal
01,013,Jhelam Valley,12,Pulwama
01,013,Jhelam Valley,13,Shupiyan
01,013,Jhelam Valley,14,Anantnag
01,013,Jhelam Valley,15,Kulgam
01,014,Ladakh,03,Leh (Ladakh)
01,014,Ladakh,04,Kargil
02,021,Central,02,Kangra
02,021,Central,04,Kullu
02,021,Central,05,Mandi
02,021,Central,06,Hamirpur
02,021,Central,07,Una
02,022,Trans Himalayan & Southern,01,Chamba
02,022,Trans Himalayan & Southern,03,Lahul & Spiti
02,022,Trans Himalayan & Southern,08,Bilaspur
02,022,Trans Himalayan & Southern,09,Solan
02,022,Trans Himalayan & Southern,10,Sirmaur
02,022,Trans Himalayan & Southern,11,Shimla
02,022,Trans Himalayan & Southern,12,Kinnaur
03,031,Northern,01,Gurdaspur
03,031,Northern,02,Kapurthala
03,031,Northern,03,Jalandhar
03,031,Northern,04,Hoshiarpur
03,031,Northern,05,Shahid Bhagat Singh Nagar
03,031,Northern,15,Amritsar
03,031,Northern,16,Tarn Taran
03,031,Northern,17,Rupnagar
03,031,Northern,18,Sahibzada Ajit Singh Nagar
03,031,Northern,21,Pathankot
03,032,Southern,06,Fatehgarh Sahib
03,032,Southern,07,Ludhiana
03,032,Northern,08,Moga
03,032,Southern,09,Firozpur
03,032,Southern,10,Muktsar
03,032,Northern,11,Faridkot
03,032,Southern,12,Bathinda
03,032,Southern,13,Mansa
03,032,Southern,14,Patiala
03,032,Southern,19,Sangrur
03,032,Southern,20,Barnala
03,032,Southern,22,Fazilka
04,041,Chandigarh,01,Chandigarh
05,051,Uttarakhand,01,Uttarkashi
05,051,Uttarakhand,02,Chamoli
05,051,Uttarakhand,03,Rudraprayag
05,051,Uttarakhand,04,Tehri Garhwal
05,051,Uttarakhand,05,Dehradun
05,051,Uttarakhand,06,Garhwal
05,051,Uttarakhand,07,Pithoragarh
05,051,Uttarakhand,08,Bageshwar
05,051,Uttarakhand,09,Almora
05,051,Uttarakhand,10,Champawat
05,051,Uttarakhand,11,Nainital
05,051,Uttarakhand,12,Udham Singh Nagar
05,051,Uttarakhand,13,Hardwar
06,061,Eastern,01,Panchkula
06,061,Eastern,02,Ambala
06,061,Eastern,03,Yamunanagar
06,061,Eastern,04,Kurukshetra
06,061,Eastern,05,Kaithal
06,061,Eastern,06,Karnal
06,061,Eastern,07,Panipat
06,061,Eastern,08,Sonipat
06,061,Eastern,14,Rohtak
06,061,Eastern,15,Jhajjar
06,061,Eastern,18,Gurgaon
06,061,Eastern,19,Mewat
06,061,Eastern,20,Faridabad
06,061,Eastern,21,Palwal
06,062,Western,09,Jind
06,062,Western,10,Fatehabad
06,062,Western,11,Sirsa
06,062,Western,12,Hisar
06,062,Western,13,Bhiwani
06,062,Western,16,Mahendragarh
06,062,Western,17,Rewari
07,071,Delhi,01,North West Delhi
07,071,Delhi,02,North Delhi
07,071,Delhi,03,North East Delhi
07,071,Delhi,04,East Delhi
07,071,Delhi,05,New Delhi
07,071,Delhi,06,Central Delhi
07,071,Delhi,07,West Delhi
07,071,Delhi,08,South West Delhi
07,071,Delhi,09,South Delhi
08,081,Western,03,Bikaner
08,081,Western,15,Jodhpur
08,081,Western,16,Jaisalmer
08,081,Western,17,Barmer
08,081,Western,18,Jalor
08,081,Western,19,Sirohi
08,081,Western,20,Pali
08,082,North-Eastern,06,Alwar
08,082,North-Eastern,07,Bharatpur
08,082,North-Eastern,08,Dhaulpur
08,082,North-Eastern,09,Karauli
08,082,North-Eastern,10,Sawai Madhopur
08,082,North-Eastern,11,Dausa
08,082,North-Eastern,12,Jaipur
08,082,North-Eastern,21,Ajmer
08,082,North-Eastern,22,Tonk
08,082,North-Eastern,24,Bhilwara
08,083,Southern,25,Rajsamand
08,083,Southern,26,Dungarpur
08,083,Southern,27,Banswara
08,083,Southern,32,Udaipur
08,084,South Eastern,23,Bundi
08,084,South Eastern,28,Chittaurgarh
08,084,South Eastern,29,Kota
08,084,South Eastern,30,Baran
08,084,South Eastern,31,Jhalawar
08,084,South Eastern,33,Pratapgarh
08,085,Northern,01,Ganganagar
08,085,Northern,02,Hanumangarh
08,085,Northern,04,Churu
08,085,Northern,05,Jhunjhunun
08,085,Northern,13,Sikar
08,085,Northern,14,Nagaur
09,091,Northern Upper Ganga Plains,01,Saharanpur
09,091,Northern Upper Ganga Plains,02,Muzaffarnagar
09,091,Northern Upper Ganga Plains,03,Bijnor
09,091,Northern Upper Ganga Plains,04,Moradabad
09,091,Northern Upper Ganga Plains,05,Rampur
09,091,Northern Upper Ganga Plains,06,Jyotiba Phule Nagar
09,091,Northern Upper Ganga Plains,07,Meerut
09,091,Northern Upper Ganga Plains,08,Baghpat
09,091,Northern Upper Ganga Plains,09,Ghaziabad
09,091,Northern Upper Ganga Plains,10,Gautam Buddha Nagar
09,092,Central,23,Sitapur
09,092,Central,24,Hardoi
09,092,Central,25,Unnao
09,092,Central,26,Lucknow
09,092,Central,27,Rae Bareli
09,092,Central,32,Kanpur Dehat
09,092,Central,33,Kanpur Nagar
09,092,Central,41,Fatehpur
09,092,Central,45,Bara Banki
09,093,Eastern,42,Pratapgarh
09,093,Eastern,43,Kaushambi
09,093,Eastern,44,Allahabad
09,093,Eastern,46,Faizabad
09,093,Eastern,47,Ambedkar Nagar
09,093,Eastern,48,Sultanpur
09,093,Eastern,49,Bahraich
09,093,Eastern,50,Shrawasti
09,093,Eastern,51,Balrampur
09,093,Eastern,52,Gonda
09,093,Eastern,53,Siddharthnagar
09,093,Eastern,54,Basti
09,093,Eastern,55,Sant Kabir Nagar
09,093,Eastern,56,Mahrajganj
09,093,Eastern,57,Gorakhpur
09,093,Eastern,58,Kushinagar
09,093,Eastern,59,Deoria
09,093,Eastern,60,Azamgarh
09,093,Eastern,61,Mau
09,093,Eastern,62,Ballia
09,093,Eastern,63,Jaunpur
09,093,Eastern,64,Ghazipur
09,093,Eastern,65,Chandauli
09,093,Eastern,66,Varanasi
09,093,Eastern,67,Sant Ravidas Nagar (Bhadohi)
09,093,Eastern,68,Mirzapur
09,093,Eastern,69,Sonbhadra
09,094,Southern,34,Jalaun
09,094,Southern,35,Jhansi
09,094,Southern,36,Lalitpur
09,094,Southern,37,Hamirpur
09,094,Southern,38,Mahoba
09,094,Southern,39,Banda
09,094,Southern,40,Chitrakoot
09,095,Southern Upper Ganga Plains,11,Bulandshahr
09,095,Southern Upper Ganga Plains,12,Aligarh
09,095,Southern Upper Ganga Plains,13,Mahamaya Nagar
09,095,Southern Upper Ganga Plains,14,Mathura
09,095,Southern Upper Ganga Plains,15,Agra
09,095,Southern Upper Ganga Plains,16,Firozabad
09,095,Southern Upper Ganga Plains,17,Mainpuri
09,095,Southern Upper Ganga Plains,18,Budaun
09,095,Southern Upper Ganga Plains,19,Bareilly
09,095,Southern Upper Ganga Plains,20,Pilibhit
09,095,Southern Upper Ganga Plains,21,Shahjahanpur
09,095,Southern Upper Ganga Plains,22,Kheri
09,095,Southern Upper Ganga Plains,28,Farrukhabad
09,095,Southern Upper Ganga Plains,29,Kannauj
09,095,Southern Upper Ganga Plains,30,Etawah
09,095,Southern Upper Ganga Plains,31,Auraiya
09,095,Southern Upper Ganga Plains,70,Etah
09,095,Eastern,71,Kanshiram Nagar
10,101,Northern,01,Pashchim Champaran
10,101,Northern,02,Purba Champaran
10,101,Northern,03,Sheohar
